image_id,GPT-4.5,GPT-4o,Llama,gpt_4_5_length,gpt_4_5_coverage,gpt_4o_length,gpt_4o_coverage,llama_length,llama_coverage,gpt_4_5_tfidf,gpt_4o_tfidf,llama_tfidf,gpt_4_5_sbert_score,gpt_4_5_sbert_score_norm,gpt_4o_sbert_score,gpt_4o_sbert_score_norm,llama_sbert_score,llama_sbert_score_norm,sbert_cos_gpt_4_5_gpt_4o,sbert_cos_gpt_4_5_llama,sbert_cos_gpt_4o_llama,cos_gpt_4_5_gpt_4o,cos_gpt_4_5_llama,cos_gpt_4o_llama,gpt_4_5_length_norm,gpt_4_5_tfidf_norm,gpt_4_5_score,gpt_4o_length_norm,gpt_4o_tfidf_norm,gpt_4o_score,llama_length_norm,llama_tfidf_norm,llama_score,best_model,mean_pairwise_semantic,min_pairwise_semantic,semantic_agreement,trusted_for_auto_use
7109.jpg,Dark environment with some distant dimly illuminated structures or lights.,"Distant lights potentially from buildings or other sources, with the rest of the background in darkness.","Dark sky with distant lights, possibly from buildings or other sources",10,1.0,16,1.0,11,1.0,3.3369314184670893,3.5465142520000157,3.3403783190550547,0.9140642285346985,0.760257246082578,0.9267956018447876,0.9631416791883971,0.9260752201080322,0.9592738029642303,0.7655748128890991,0.7635817527770996,0.7988085746765137,0.012454119589320295,0.04179246456268506,0.30595111562977517,0.46153846153846156,0.4933685662845906,0.6982673144722547,0.5925925925925926,0.6197671222897784,0.8304460676215516,0.6111111111111112,0.8817298738470984,0.9093395944509328,llama,0.776,0.7636,high,True
7110.jpg,Dark environment with highlights of distant light sources.,"Grass in the foreground and faint structures with lights in the distant background, suggesting a rural or suburban area.","Darkness with some distant lights visible on the right side, possibly from buildings or other sources.",8,1.0,19,1.0,16,1.0,3.141697849041906,4.300712001420953,3.5260617290746854,0.85560142993927,0.5121178934074683,0.7966729402542114,0.8125025385382779,0.8562936782836914,0.8841658775027869,0.49838581681251526,0.6479486227035522,0.5001223683357239,0.005811038331064342,0.09025742020342803,0.012324296312871545,0.3076923076923077,0.4183623065065588,0.5611250800841857,0.7037037037037037,0.7515661044967274,0.8208412171346997,0.8888888888888888,0.9307430675797241,0.9217781601639209,llama,0.5488,0.4984,low,False
7111.jpg,Darkness with some distant faint lights or reflections,"The background includes distant lights, possibly from buildings or urban areas.",Dark sky with some distant lights,8,1.0,11,1.0,6,1.0,2.787187652140625,3.557859861720763,2.4208751865266986,0.8864507675170898,0.6430547428386677,0.7911458611488342,0.8061040032135167,0.8935040235519409,0.9242164663223562,0.5079908967018127,0.7711634635925293,0.5261252522468567,0.022392953373662167,0.04270460570833204,0.06166458757457404,0.3076923076923077,0.28216398773879914,0.5726403242263377,0.4074074074074074,0.621749811597536,0.7497072855054083,0.3333333333333333,0.6390168325064428,0.7947249696142086,llama,0.6018,0.508,low,False
7112.jpg,"Dark and indistinct, possibly forest or open landscape in distance","Tall grass occupies most of the foreground, and distant lights suggest structures or a settlement in the background.",Dark background with some distant lights visible on the right side,10,1.0,18,1.0,11,1.0,3.4591951265254806,4.008605714680822,3.0795670854686996,0.8030663728713989,0.28913823169502256,0.813096284866333,0.8315153568185791,0.7708218097686768,0.7921699920344502,0.5089075565338135,0.40799909830093384,0.4319404363632202,0.0,0.02696300479337633,0.060876063025161575,0.46153846153846156,0.5403407313433636,0.5239113582348642,0.6666666666666666,0.7005193978231001,0.8094286287410284,0.6111111111111112,0.8128858585521312,0.8218448654905306,llama,0.4496,0.408,low,False
7113.jpg,"Dark, unclear background with faint lights or reflective objects",Buildings with illuminated windows can be seen faintly in the distance.,Dark sky with some distant lights,9,1.0,11,1.0,6,1.0,3.3936352729511956,3.2062301100951545,2.4208751865266986,0.8498715162277222,0.487797862320573,0.7655327320098877,0.7764524443252464,0.8398635983467102,0.8664816993237101,0.4520801305770874,0.6345824003219604,0.4275079071521759,0.0,0.05496660942207525,0.0,0.38461538461538464,0.515153467581908,0.58812672366434,0.4074074074074074,0.5603011485466052,0.7194120630348209,0.3333333333333333,0.6390168325064428,0.7716310628147501,llama,0.5047,0.4275,low,False
7114.jpg,"Very dark, minimal details visible, possibly distant lights or reflections",Sparse lights from distant structures or buildings are faintly visible in the far background.,Dark background with some distant lights visible,10,1.0,14,1.0,7,1.0,3.5208456078945485,3.8328911815621565,2.8179099245202,0.8922603130340576,0.6677127629566045,0.8652804493904114,0.8919274142062903,0.891435444355011,0.9219899937040641,0.6471461653709412,0.7164304256439209,0.6449612975120544,0.0283989364211584,0.12378377025272495,0.10430971368523514,0.46153846153846156,0.5640260639151325,0.6824467705110278,0.5185185185185185,0.6698126015726598,0.8095665980061659,0.3888888888888889,0.743818551355749,0.8308304517772392,llama,0.6695,0.645,partial,False
7115.jpg,"Darkness, faint distant lights indicating possible distant structures or vegetation","The background includes faint illuminated structures, likely buildings, along with grass spread across the foreground.",Dark sky with distant lights visible on the right side,10,1.0,15,1.0,10,1.0,3.759502679628336,4.1344717710075205,3.078494793276351,0.8852001428604126,0.637746594747863,0.7847347259521484,0.7986820224085189,0.7850991487503052,0.8075371118197837,0.5861511826515198,0.5870453119277954,0.3403996229171753,0.0420935793054726,0.05445932408327997,0.0,0.46153846153846156,0.6557150822178416,0.6979670087183438,0.5555555555555556,0.7225149793943766,0.7917828583372761,0.5555555555555556,0.8126028151453131,0.8223512448270631,llama,0.5045,0.3404,low,False
7116.jpg,Distant lights indicating possible buildings or urban area far away,"Sparse vegetation in the foreground and distant artificial lights, possibly from buildings or structures in the background.",Dark with some distant lights visible,10,1.0,17,1.0,6,1.0,3.8736618397131677,4.06579717975725,2.459346907000894,0.8642988204956055,0.5490330756166971,0.7991567850112915,0.8153780118427829,0.8244643211364746,0.849907004431213,0.5436717867851257,0.6066349148750305,0.44456666707992554,0.036042793012695695,0.0661074539433989,0.03887088085974531,0.46153846153846156,0.6995735827952545,0.6756391512391013,0.6296296296296297,0.7105138281880605,0.8022683161564944,0.3333333333333333,0.6491718694514763,0.7680476959412615,gpt_4o,0.5316,0.4446,low,False
7117.jpg,Dark surroundings and distant light sources indicating possible structures or urban lights,"Distant artificial lights, possibly from buildings or urban structures, with mostly dark surroundings.",Dark with some distant lights visible on the right side.,12,1.0,13,1.0,10,1.0,4.128579376455027,3.8785449688496727,2.7515996145215427,0.9201939105987549,0.7862740529413268,0.9017931222915649,0.9341970511890848,0.8475863337516785,0.8747939065348223,0.8006170988082886,0.6559081077575684,0.6067857146263123,0.24287112498648686,0.050790445439177954,0.06561812082085587,0.6153846153846154,0.7975096654020069,0.8153009823355943,0.48148148148148145,0.6777907779899284,0.8251642020207607,0.5555555555555556,0.7263152102113191,0.8233676812328803,gpt_4o,0.6878,0.6068,partial,False
7118.jpg,Dark with distant and indistinct lights or reflections,Dimly visible urban lights or structures in the distance.,Dark sky with some distant lights,8,1.0,9,1.0,6,1.0,2.772374446758522,3.0881234951923253,2.4208751865266986,0.8962315320968628,0.6845681949791932,0.8142557144165039,0.8328575939734849,0.8950905799865723,0.9259241236672259,0.5622899532318115,0.7729111909866333,0.5593168139457703,0.010343328941681992,0.09288471593994017,0.016005931530083183,0.3076923076923077,0.2764729422167269,0.5875383914259261,0.3333333333333333,0.5396615594626379,0.7283748387615187,0.3333333333333333,0.6390168325064428,0.7954080325521565,llama,0.6315,0.5593,partial,False
7119.jpg,Darkness with faint lights or reflections from distant buildings or structures,The background shows faint outlines of structures with illuminated windows and sparse vegetation.,Dark background with some distant lights visible,11,1.0,13,1.0,7,1.0,3.3488539970828093,3.8866070154393744,2.8179099245202,0.878727912902832,0.6102758784868717,0.8260612487792969,0.846524510478176,0.8592154383659363,0.8873106537965793,0.584027886390686,0.6690350770950317,0.5339975357055664,0.052790038421957175,0.036509733932567304,0.03194865369767099,0.5384615384615384,0.4979490696862733,0.6473412261467846,0.48148148148148145,0.6791996519037574,0.7905178479105458,0.3888888888888889,0.743818551355749,0.8169587158142452,llama,0.5957,0.534,low,False
7120.jpg,Darkness with minimal vegetation and a distant faint light source,Sparse vegetation and faintly visible lights or structures in the distance.,Dark with some distant lights,10,1.0,11,1.0,5,1.0,3.4020127845985435,3.354370793250807,2.0269068766905063,0.9316444993019104,0.8348749023158574,0.8510760068893433,0.8754833529980472,0.8432422876358032,0.8701182819592927,0.7335171699523926,0.7129465937614441,0.5013763904571533,0.021599888802002906,0.021421619051659544,0.024135167661597588,0.46153846153846156,0.5183720012427151,0.7356154074530037,0.4074074074074074,0.5861893075584135,0.7667908742074836,0.2777777777777778,0.5350245313500015,0.7363324499664953,gpt_4o,0.6493,0.5014,low,False
7121.jpg,Dark landscape with vague distant lights or reflections suggesting possible distant structures,"Distant illuminated buildings, likely part of an urban environment.",Distant lights suggesting human habitation or infrastructure in the background.,12,1.0,9,1.0,10,1.0,3.980046055533674,3.138147505330938,3.2966907580005484,0.8535585403442383,0.5034470580407616,0.8795304298400879,0.9084241933451496,0.9036012887954712,0.9350844498241332,0.5935511589050293,0.6570186018943787,0.7254981398582458,0.012663014448697071,0.06951984337969845,0.007760347262660451,0.6153846153846154,0.740445048453587,0.6850507992908423,0.3333333333333333,0.5484034492750133,0.7612240454538971,0.5555555555555556,0.8701980579813512,0.8906487528796143,llama,0.6587,0.5936,partial,False
7122.jpg,Grass-covered area with darkness dominating,Sparse grassy terrain with distant lights/buildings faintly visible in the background.,"Dark sky with distant lights, possibly from a town or city",5,1.0,11,1.0,11,1.0,2.8835790797394503,3.7856041422675744,3.357528346067884,0.8070518970489502,0.30605438031001386,0.8528960347175598,0.877590345159524,0.8021030426025391,0.825838902789418,0.5560289025306702,0.4309734106063843,0.5438448786735535,0.0,0.0,0.034232631596161155,0.07692307692307693,0.31919635097499693,0.42587296510881234,0.4074074074074074,0.6615490080318529,0.7902415812141061,0.6111111111111112,0.8862568135258274,0.8573237162846266,llama,0.5103,0.431,low,False
