image_id,GPT-4.5,GPT-4o,Llama,gpt_4_5_length,gpt_4_5_coverage,gpt_4o_length,gpt_4o_coverage,llama_length,llama_coverage,gpt_4_5_tfidf,gpt_4o_tfidf,llama_tfidf,gpt_4_5_sbert_score,gpt_4_5_sbert_score_norm,gpt_4o_sbert_score,gpt_4o_sbert_score_norm,llama_sbert_score,llama_sbert_score_norm,sbert_cos_gpt_4_5_gpt_4o,sbert_cos_gpt_4_5_llama,sbert_cos_gpt_4o_llama,cos_gpt_4_5_gpt_4o,cos_gpt_4_5_llama,cos_gpt_4o_llama,gpt_4_5_length_norm,gpt_4_5_tfidf_norm,gpt_4_5_score,gpt_4o_length_norm,gpt_4o_tfidf_norm,gpt_4o_score,llama_length_norm,llama_tfidf_norm,llama_score,best_model,mean_pairwise_semantic,min_pairwise_semantic,semantic_agreement,trusted_for_auto_use
7109.jpg,Nighttime (specifically early morning as indicated by image timestamp),"Nighttime, as evidenced by the darkness and timestamp showing early morning (4:21 AM).",Night,9,1.0,13,1.0,1,1.0,3.389290656858201,3.294163013211161,1.0,0.9049264192581177,0.6471382285833366,0.9251407384872437,0.9086169588218963,0.8199062347412109,0.8086074100963045,0.8384498953819275,0.5595810413360596,0.6131487488746643,0.12643321103475808,0.0,0.0,0.5714285714285714,0.8116487937530953,0.7594927867021204,0.8666666666666667,0.9089883524382626,0.9228099559269038,0.125,0.35234554466003754,0.6416466274365331,gpt_4o,0.6704,0.5596,partial,False
7110.jpg,Nighttime (timestamp indicates 4:21 AM),Nighttime as indicated by the timestamp and lighting condition.,"Night, as indicated by the darkness and timestamp.",5,1.0,9,1.0,8,1.0,2.107171018168941,2.711339676917202,2.491824220243702,0.9337716698646545,0.7541962161604926,0.960286557674408,0.9515205592197112,0.9169365167617798,0.9117250963923552,0.8733417987823486,0.7514851689338684,0.8260184526443481,0.06735896397044035,0.05721205449474006,0.09867061417344747,0.2857142857142857,0.3761091262780338,0.6430826529190358,0.6,0.7481646099289366,0.8650576066665656,1.0,0.8779831620788406,0.9280849871805942,llama,0.8169,0.7515,high,True
7111.jpg,Nighttime (indicated by darkness and timestamp),Nighttime.,Night,6,1.0,1,1.0,1,1.0,2.5697702543476773,1.0,1.0,0.869471549987793,0.5155489071498824,0.9410704970359802,0.9280629131634094,0.8959548473358154,0.8894270966258969,0.7376633882522583,0.6155582666397095,0.809340238571167,0.22519073231333564,0.0,0.0,0.35714285714285715,0.5332553951749692,0.6019104671267295,0.06666666666666667,0.2759390925078045,0.6606735596843719,0.125,0.35234554466003754,0.6739745020483701,llama,0.7209,0.6156,partial,False
7112.jpg,Night (timestamp shows 2:09 AM),"Nighttime, as indicated by the darkness and timestamp.",Night,5,1.0,8,1.0,1,1.0,2.0784704626979766,2.5697702543476773,1.0,0.8823753595352173,0.5634408773417822,0.8893146514892578,0.8648829342372513,0.8526731133460999,0.843429989589204,0.705917239189148,0.609756588935852,0.6279677152633667,0.05531031550766885,0.212301160520687,0.0,0.2857142857142857,0.36635946641091505,0.563855619431416,0.5333333333333333,0.7091000719382481,0.8120165286097082,0.125,0.35234554466003754,0.6555756592336928,gpt_4o,0.6479,0.6098,partial,False
7113.jpg,Nighttime,Night time as indicated by the timestamp and lighting conditions.,Night,1,1.0,10,1.0,1,1.0,1.0,3.1975411739613153,1.0,0.927638828754425,0.7314344230200014,0.8347234725952148,0.798241775240706,0.9044743776321411,0.8984811180529394,0.643923282623291,0.8299378752708435,0.5821480751037598,0.0,0.0,0.1526256762485152,0.0,0.0,0.49257376920800056,0.6666666666666666,0.8823266097992253,0.8506613597027166,0.125,0.35234554466003754,0.677596110619187,gpt_4o,0.6853,0.5821,partial,False
7114.jpg,"Nighttime, timestamp indicates 9:59:25 PM","Nighttime, as indicated by the timestamp and darkness.",Nighttime,5,1.0,8,1.0,1,1.0,2.48353966044282,2.5342049002848963,1.0,0.8817943334579468,0.5612844224227067,0.9405980706214905,0.9274862074677276,0.8829807043075562,0.8756389927176291,0.770729660987854,0.6148529648780823,0.7739393711090088,0.07719664862125686,0.16043310368390476,0.21105080878689822,0.2857142857142857,0.503962618539948,0.6042739831024956,0.5333333333333333,0.6992862004134456,0.834113676444458,0.125,0.35234554466003754,0.6684592604850629,gpt_4o,0.7198,0.6149,partial,False
7115.jpg,Night,"Nighttime, as evident from the timestamp and lighting conditions",Night,1,1.0,9,1.0,1,1.0,1.0,2.8412334595919497,1.0,0.9565151929855347,0.8386078875634847,0.812210202217102,0.7707591221602147,0.9565151929855347,0.9537868263375383,0.606734037399292,1.0,0.606734037399292,0.0,1.0,0.0,0.0,0.0,0.535443155025394,0.6,0.7840073824426125,0.8035058635968697,0.125,0.35234554466003754,0.6997183939330265,gpt_4o,0.7378,0.6067,partial,False
7116.jpg,Nighttime evident from darkness,"Nighttime, indicated by the timestamp and darkness.",Night,4,1.0,7,1.0,1,1.0,2.0910862180408594,2.5342049002848963,1.0,0.9159067273139954,0.6878912003454575,0.8982661962509155,0.8758103648187406,0.8497033715248108,0.8402739346017205,0.7846139669418335,0.6552486419677734,0.6082561612129211,0.13562104028137412,0.0,0.0,0.21428571428571427,0.3706450741819677,0.6077785738213447,0.4666666666666667,0.6992862004134456,0.8067766727181966,0.125,0.35234554466003754,0.6543132372386995,gpt_4o,0.6827,0.6083,partial,False
7117.jpg,Nighttime (clearly dark),"Nighttime, indicated by timestamp and lighting conditions.",Night,3,1.0,7,1.0,1,1.0,2.0984799930259985,2.8850989097857904,1.0,0.9349373579025269,0.7585226204334059,0.886999249458313,0.8620564505816298,0.8598136305809021,0.8510184825923862,0.7900867462158203,0.7171822786331177,0.5886240005493164,0.02485671750428967,0.0,0.0,0.14285714285714285,0.37315676045619484,0.6296417905959351,0.4666666666666667,0.7961115749615473,0.8303227193877827,0.125,0.35234554466003754,0.6586110564349656,gpt_4o,0.6986,0.5886,partial,False
7118.jpg,Nighttime (8:35 PM as indicated by timestamp),Night,Night,7,1.0,1,1.0,1,1.0,2.3702704647423274,1.0,1.0,0.8296505212783813,0.36775476054899786,0.9602501392364502,0.9514761020937887,0.9602500200271606,0.9577559658188267,0.6408319473266602,0.6408318877220154,1.0000001192092896,0.0,0.0,1.0,0.42857142857142855,0.46548475240181236,0.5296044727972857,0.06666666666666667,0.2759390925078045,0.6700388352565235,0.125,0.35234554466003754,0.7013060497255419,llama,0.7606,0.6408,partial,False
